37 40 10000
37 93 20000
37 41 10000
40 93 20000
40 41 10000
41 93 20000
37 95 20000
37 94 10000
94 95 20000
65 73 10000
143 145 40000
144 145 40000
143 144 40000
99 199 10000
109 199 10000
99 109 10000
50 83 10000
50 122 10000
15 50 20000
83 122 10000
15 83 20000
15 122 20000
37 320 20000
148 330 10000
37 332 20000
69 343 60000
90 343 20000
69 90 30000
1 344 20000
147 227 20000
7 342 20000
7 29 20000
7 311 20000
29 342 40000
311 342 40000
29 311 40000
136 346 10000
25 136 20000
136 311 20000
25 346 20000
311 346 20000
25 311 40000
3 311 20000
26 342 40000
13 26 40000
26 78 20000
26 137 20000
13 342 40000
78 342 20000
137 342 20000
13 78 20000
13 137 20000
78 137 10000
347 348 10000
53 221 10000
113 221 10000
1 221 10000
53 113 10000
1 53 10000
1 113 10000
37 200 10000
200 351 10000
89 200 10000
37 351 10000
37 89 10000
89 351 10000
158 365 40000
158 242 40000
18 158 40000
242 365 40000
18 365 40000
18 242 40000
32 50 20000
32 274 20000
50 274 10000
159 310 40000
284 310 40000
159 284 40000
32 276 20000
32 197 40000
197 276 20000
91 263 10000
62 383 20000
32 237 20000
77 80 10000
3 77 10000
62 77 10000
3 80 10000
62 80 10000
3 62 10000
80 249 10000
80 97 10000
97 249 10000
32 126 40000
32 54 40000
32 85 20000
198 204 10000
90 198 10000
90 204 10000
123 213 20000
213 311 40000
213 299 20000
79 213 40000
123 311 20000
123 299 10000
79 123 20000
299 311 20000
79 311 40000
79 299 20000
32 111 20000
206 213 40000
206 210 40000
210 213 40000
204 257 10000
89 257 10000
79 257 20000
85 257 10000
89 204 10000
79 204 20000
85 204 10000
79 89 20000
85 89 10000
79 85 20000
32 206 40000
54 75 20000
54 109 20000
54 97 20000
75 109 10000
75 97 10000
97 109 10000
3 79 20000
257 379 10000
100 104 10000
80 100 10000
62 100 10000
100 111 10000
80 111 10000
62 111 10000
3 91 10000
32 98 40000
105 361 20000
393 397 20000
147 393 20000
147 397 40000
68 194 10000
68 257 10000
48 68 10000
5 68 10000
194 257 10000
48 194 10000
5 194 10000
48 257 10000
5 257 10000
5 48 10000
32 251 40000
32 143 40000
143 251 40000
90 157 20000
237 257 10000
20 65 20000
90 209 20000
9 32 40000
9 25 40000
9 311 40000
9 295 40000
9 256 40000
25 295 40000
25 256 40000
295 311 40000
256 311 40000
256 295 40000
39 91 10000
132 351 20000
309 351 20000
34 351 10000
216 351 10000
132 309 40000
34 132 20000
132 216 20000
34 309 20000
216 309 20000
34 216 10000
3 67 10000
37 303 20000
37 361 20000
303 361 40000
180 409 10000
180 226 20000
226 409 20000
117 206 20000
37 122 10000
37 106 10000
106 122 10000
35 366 10000
54 86 20000
80 406 10000
190 406 10000
186 406 20000
242 406 20000
80 190 10000
80 186 20000
80 242 20000
186 190 20000
190 242 20000
186 242 40000
37 126 20000
37 210 20000
37 400 20000
37 212 20000
126 210 40000
126 400 40000
126 212 40000
210 400 40000
210 212 40000
212 400 40000
63 366 20000
63 242 40000
242 366 20000
9 123 20000
9 228 20000
9 73 20000
32 123 20000
32 228 20000
32 73 20000
123 228 10000
73 123 10000
73 228 10000
39 360 20000
32 405 40000
247 426 10000
139 426 10000
45 426 10000
139 247 10000
45 247 10000
45 139 10000
57 333 40000
127 306 20000
80 304 10000
64 80 10000
39 80 10000
45 80 10000
64 304 10000
39 304 10000
45 304 10000
39 64 10000
45 64 10000
39 45 10000
33 219 10000
117 452 10000
109 452 10000
451 452 10000
434 452 20000
109 117 10000
117 451 10000
117 434 20000
109 451 10000
109 434 20000
434 451 20000
37 453 10000
37 96 10000
96 453 10000
65 462 10000
228 346 10000
212 346 20000
52 217 20000
236 465 10000
236 260 10000
260 465 10000
257 481 10000
448 481 10000
95 481 20000
459 481 10000
257 448 10000
95 257 20000
257 459 10000
95 448 20000
448 459 10000
95 459 20000
55 73 20000
36 228 10000
110 486 10000
110 488 10000
85 110 10000
486 488 10000
85 486 10000
85 488 10000
26 96 20000
26 85 20000
85 96 10000
26 95 40000
89 100 10000
100 214 10000
89 214 10000
386 397 40000
386 495 40000
353 386 40000
397 495 40000
353 397 40000
353 495 40000
249 496 10000
257 366 10000
276 366 10000
164 366 10000
264 366 10000
257 276 10000
164 257 10000
257 264 10000
164 276 10000
264 276 10000
164 264 10000
135 294 10000
135 451 10000
84 135 10000
294 451 10000
84 294 10000
84 451 10000
398 424 20000
135 165 10000
168 251 40000
168 197 40000
6 168 40000
168 460 40000
197 251 40000
6 251 40000
251 460 40000
6 197 40000
197 460 40000
6 460 40000
181 285 10000
231 285 20000
181 231 20000
39 384 10000
80 130 20000
80 225 20000
80 224 20000
130 225 40000
130 224 40000
224 225 40000
161 310 40000
161 284 40000
102 277 10000
102 484 10000
102 161 20000
277 484 10000
161 277 20000
161 484 20000
62 75 10000
75 383 20000
227 368 20000
207 368 40000
1 368 20000
207 227 20000
1 227 10000
1 207 20000
444 480 10000
4 9 40000
9 167 20000
9 318 40000
9 20 40000
4 167 20000
4 318 40000
4 20 40000
167 318 20000
20 167 20000
20 318 40000
355 452 20000
367 452 20000
231 452 20000
355 367 40000
231 355 40000
231 367 40000
75 433 10000
65 433 10000
65 75 10000
228 441 10000
301 484 10000
484 495 20000
301 495 20000
65 197 20000
9 454 20000
9 156 40000
9 468 20000
156 454 20000
454 468 10000
311 454 20000
156 468 20000
156 311 40000
311 468 20000
64 468 10000
129 468 10000
64 129 10000
447 484 10000
65 191 10000
10 165 10000
10 65 10000
65 165 10000
355 492 20000
272 492 20000
272 355 40000
75 128 10000
128 129 10000
75 129 10000
37 437 10000
37 225 20000
225 437 20000
225 453 20000
135 221 10000
215 467 10000
135 191 10000
26 126 40000
177 432 20000
177 480 20000
177 507 20000
177 225 40000
432 480 10000
432 507 10000
225 432 20000
480 507 10000
225 480 20000
225 507 20000
187 413 20000
62 187 20000
36 187 20000
187 435 20000
62 413 10000
36 413 10000
413 435 10000
36 62 10000
62 435 10000
36 435 10000
77 467 10000
467 484 10000
77 484 10000
484 498 10000
97 255 10000
164 255 10000
97 164 10000
126 308 40000
225 308 40000
126 225 40000
66 168 40000
9 37 20000
9 121 40000
9 188 20000
9 84 20000
37 121 20000
37 188 10000
37 84 10000
121 188 20000
84 121 20000
84 188 10000
46 207 40000
1 46 20000
62 67 10000
67 458 10000
62 458 10000
